Date,Well_ID,Field,Region,Well_Type,Production_Status,Oil_Production_BBL,Gas_Production_MCF,Water_Production_BBL,Operating_Cost_USD,Maintenance_Cost_USD,Oil_Price_USD_BBL,Gas_Price_USD_MCF,Revenue_USD,Downtime_Hours,Production_Efficiency_Pct,API_Gravity,Well_Age_Years
2025-01-05,W-013,Permian North,West Texas,Horizontal Oil,Producing,461.5,1040.7,471.7,9550.49,452.24,73.0,2.99,34062.87,1.7,91.6,39.5,4
2025-01-05,W-014,Permian South,West Texas,Horizontal Oil,Producing,522.7,1067.8,561.2,8197.23,875.36,73.0,2.99,38539.68,0.7,94.8,40.3,4
2025-01-05,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,317.5,976.8,271.2,6065.18,707.52,73.0,2.99,23530.62,0,100,35.6,2
2025-01-05,W-016,Bakken Central,North Dakota,Oil & Gas,Maintenance,370.3,1191.7,499.1,7096.05,4025.87,73.0,2.99,27461.34,3.4,85.1,33.0,6
2025-01-05,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,214.2,577.5,272.6,4059.96,334.69,73.0,2.99,15844.15,0,97.9,34.2,11
2025-01-05,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,502.5,749.2,308.1,10204.13,292.66,73.0,2.99,36951.79,0,100,33.1,11
2025-01-06,W-001,Permian North,West Texas,Horizontal Oil,Producing,220.7,247.6,263.5,5130.18,226.38,70.25,3.13,15599.04,1.5,92.1,33.9,5
2025-01-06,W-002,Permian South,West Texas,Horizontal Oil,Producing,561.5,940.6,688.5,8804.65,486.57,70.25,3.13,39795.87,0,97.2,39.1,2
2025-01-06,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,430.8,1457.3,338.7,9544.88,319.58,70.25,3.13,30808.19,0.2,98.0,31.4,7
2025-01-06,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,262.0,587.6,333.7,4949.79,585.65,70.25,3.13,18629.08,0.8,94.5,37.1,4
2025-01-06,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,364.0,967.9,410.2,7388.59,602.6,70.25,3.13,25937.86,0.5,98.4,39.6,4
2025-01-06,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,313.0,871.6,194.7,5803.84,240.51,70.25,3.13,22317.36,0.5,94.6,38.1,8
2025-01-06,W-007,Permian North,West Texas,Horizontal Oil,Producing,649.0,1506.3,831.2,12102.96,759.75,70.25,3.13,46157.08,1.6,91.8,39.4,3
2025-01-06,W-008,Permian South,West Texas,Horizontal Oil,Producing,310.9,1030.7,206.0,7220.89,679.37,70.25,3.13,22231.54,0.8,97.5,33.6,3
2025-01-06,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,253.8,492.7,300.1,4421.63,463.83,70.25,3.13,18013.32,0.1,99.0,35.6,2
2025-01-06,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,315.1,425.1,232.2,5289.96,549.13,70.25,3.13,22292.17,0,100,34.2,10
2025-01-06,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,373.3,1118.1,476.9,6305.25,211.82,70.25,3.13,26646.66,0.0,100,37.4,8
2025-01-06,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,257.6,363.7,235.1,5584.22,856.78,70.25,3.13,18231.77,0.4,96.5,34.5,9
2025-01-06,W-013,Permian North,West Texas,Horizontal Oil,Producing,491.1,1008.7,309.0,8488.11,861.22,70.25,3.13,34876.03,0.8,93.0,39.5,4
2025-01-06,W-014,Permian South,West Texas,Horizontal Oil,Producing,550.7,731.6,605.0,10421.18,386.94,70.25,3.13,38962.24,0,98.0,40.3,4
2025-01-06,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,262.9,802.0,240.2,5733.46,577.72,70.25,3.13,18770.78,1.5,90.1,35.6,2
2025-01-06,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,412.8,519.2,479.7,6275.77,795.76,70.25,3.13,29195.54,0.8,94.4,33.0,6
2025-01-06,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,219.7,243.1,271.8,3596.88,300.52,70.25,3.13,15528.24,1.2,92.0,34.2,11
2025-01-06,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,483.9,797.1,391.5,7238.47,693.37,70.25,3.13,34295.4,0.9,94.9,33.1,11
2025-01-07,W-001,Permian North,West Texas,Horizontal Oil,Producing,246.5,333.0,234.9,5023.22,726.58,71.22,3.05,17677.61,0,100,33.9,5
2025-01-07,W-002,Permian South,West Texas,Horizontal Oil,Producing,526.7,1159.5,458.9,10004.23,827.76,71.22,3.05,37930.63,0,96.4,39.1,2
2025-01-07,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,413.6,517.4,318.5,8193.66,360.15,71.22,3.05,29642.94,1.3,95.5,31.4,7
2025-01-07,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,248.3,673.8,305.9,5260.25,676.67,71.22,3.05,17925.84,0,97.1,37.1,4
2025-01-07,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,331.8,623.6,302.9,5620.26,441.41,71.22,3.05,23856.1,1.1,94.8,39.6,4
2025-01-07,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,270.4,814.9,168.9,4846.71,749.42,71.22,3.05,19557.23,1.8,91.4,38.1,8
2025-01-07,W-007,Permian North,West Texas,Horizontal Oil,Producing,588.6,1093.6,381.3,9770.91,700.23,71.22,3.05,42313.69,2.3,90.7,39.4,3
2025-01-07,W-008,Permian South,West Texas,Horizontal Oil,Producing,309.3,751.4,222.8,5962.34,186.57,71.22,3.05,22303.78,1.9,92.3,33.6,3
2025-01-07,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,247.0,597.9,295.4,6075.52,754.74,71.22,3.05,17810.83,0.6,96.6,35.6,2
2025-01-07,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,276.3,473.8,191.8,5334.55,371.86,71.22,3.05,19846.75,2.6,85.6,34.2,10
2025-01-07,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,389.7,787.9,258.6,6946.0,696.89,71.22,3.05,28041.0,1.1,92.6,37.4,8
2025-01-07,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,251.0,724.6,252.0,3883.33,225.93,71.22,3.05,18139.74,0.4,97.4,34.5,9
2025-01-07,W-013,Permian North,West Texas,Horizontal Oil,Producing,489.1,1282.6,459.0,8183.67,703.95,71.22,3.05,35298.03,1.4,90.9,39.5,4
2025-01-07,W-014,Permian South,West Texas,Horizontal Oil,Producing,505.6,1331.8,296.4,8843.3,106.15,71.22,3.05,36490.17,0.6,95.1,40.3,4
2025-01-07,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,258.0,435.5,209.7,4678.7,240.56,71.22,3.05,18535.4,2.0,89.7,35.6,2
2025-01-07,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,444.9,563.2,551.5,6079.94,836.93,71.22,3.05,31892.46,0,100,33.0,6
2025-01-07,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,212.1,579.5,187.5,3346.86,359.81,71.22,3.05,15317.67,0.8,96.7,34.2,11
2025-01-07,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,414.2,1260.2,308.4,7797.94,416.61,71.22,3.05,29958.84,1.7,90.6,33.1,11
2025-01-08,W-001,Permian North,West Texas,Horizontal Oil,Producing,232.3,316.4,222.5,5015.19,681.9,68.07,2.99,15923.38,1.4,94.3,33.9,5
2025-01-08,W-002,Permian South,West Texas,Horizontal Oil,Producing,522.5,1298.6,605.1,9520.59,718.28,68.07,2.99,36029.9,0.8,95.2,39.1,2
2025-01-08,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,426.4,909.3,549.8,8316.07,599.62,68.07,2.99,29350.99,1.2,95.3,31.4,7
2025-01-08,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,253.1,454.8,194.8,4191.88,348.33,68.07,2.99,17393.72,1.0,94.2,37.1,4
2025-01-08,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,369.6,471.8,458.9,7697.3,505.65,68.07,2.99,25328.8,1.0,94.2,39.6,4
2025-01-08,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,297.7,881.8,318.9,5356.47,220.69,68.07,2.99,20577.41,1.2,91.5,38.1,8
2025-01-08,W-007,Permian North,West Texas,Horizontal Oil,Producing,688.8,1301.7,772.4,11367.51,298.19,68.07,2.99,47351.21,0,98.2,39.4,3
2025-01-08,W-008,Permian South,West Texas,Horizontal Oil,Producing,333.3,583.5,292.3,6086.07,731.38,68.07,2.99,22896.34,0.3,98.0,33.6,3
2025-01-08,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,219.3,583.5,170.5,5072.17,825.07,68.07,2.99,15138.44,0.7,97.4,35.6,2
2025-01-08,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,281.3,935.5,311.9,5189.37,850.4,68.07,2.99,19483.68,0.4,95.9,34.2,10
2025-01-08,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,413.8,1229.1,449.4,8541.64,648.33,68.07,2.99,28607.35,0.6,96.2,37.4,8
2025-01-08,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,239.4,362.6,172.7,5427.27,281.23,68.07,2.99,16426.26,0.1,96.3,34.5,9
2025-01-08,W-013,Permian North,West Texas,Horizontal Oil,Producing,544.2,725.2,634.9,10912.19,130.2,68.07,2.99,37299.53,1.2,92.8,39.5,4
2025-01-08,W-014,Permian South,West Texas,Horizontal Oil,Producing,463.7,1396.6,541.0,8953.45,450.14,68.07,2.99,32061.76,1.3,92.7,40.3,4
2025-01-08,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,270.2,573.3,210.2,5815.28,527.21,68.07,2.99,18597.17,1.4,91.9,35.6,2
2025-01-08,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,413.7,1356.3,553.3,6972.58,405.5,68.07,2.99,28646.14,0,98.6,33.0,6
2025-01-08,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,218.2,642.1,144.2,4226.49,799.29,68.07,2.99,15082.69,1.1,94.2,34.2,11
2025-01-08,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,429.6,1226.7,330.1,8505.69,449.98,68.07,2.99,29685.07,1.7,93.6,33.1,11
2025-01-09,W-001,Permian North,West Texas,Horizontal Oil,Producing,210.5,257.3,200.3,4423.37,399.93,69.06,3.07,14631.93,1.7,89.3,33.9,5
2025-01-09,W-002,Permian South,West Texas,Horizontal Oil,Producing,564.0,798.9,439.7,11350.03,211.03,69.06,3.07,39247.96,1.4,93.7,39.1,2
2025-01-09,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,393.8,505.0,297.2,8358.61,681.79,69.06,3.07,27386.44,0,98.6,31.4,7
2025-01-09,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,240.3,496.3,284.7,4199.73,824.12,69.06,3.07,16775.86,0.6,96.5,37.1,4
2025-01-09,W-005,Bakken North,North Dakota,Horizontal Oil,Maintenance,192.1,274.7,171.6,3881.52,8956.8,69.06,3.07,13368.43,12.3,54.6,39.6,4
2025-01-09,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,320.6,402.6,311.3,6572.01,543.32,69.06,3.07,22293.13,1.5,91.8,38.1,8
2025-01-09,W-007,Permian North,West Texas,Horizontal Oil,Producing,618.3,703.2,730.1,10240.85,602.61,69.06,3.07,42961.78,0,99.9,39.4,3
2025-01-09,W-008,Permian South,West Texas,Horizontal Oil,Producing,335.5,403.2,331.1,6681.04,723.31,69.06,3.07,23318.45,0,98.3,33.6,3
2025-01-09,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,224.8,648.7,206.0,3942.57,259.58,69.06,3.07,15767.5,0,96.2,35.6,2
2025-01-09,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,294.7,994.5,290.1,5302.02,252.88,69.06,3.07,20718.18,0,97.8,34.2,10
2025-01-09,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,358.2,697.2,451.9,7530.32,409.32,69.06,3.07,24995.42,1.3,95.4,37.4,8
2025-01-09,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,243.3,784.7,234.8,5521.33,163.14,69.06,3.07,17089.6,0.3,97.8,34.5,9
2025-01-09,W-013,Permian North,West Texas,Horizontal Oil,Producing,500.6,1311.5,398.0,8993.05,651.81,69.06,3.07,35054.3,0.1,97.4,39.5,4
2025-01-09,W-014,Permian South,West Texas,Horizontal Oil,Maintenance,279.2,948.1,214.9,6733.71,3663.14,69.06,3.07,19632.47,19.4,54.6,40.3,4
2025-01-09,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,308.3,820.8,404.5,5472.11,725.05,69.06,3.07,21593.04,0.6,93.8,35.6,2
2025-01-09,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,399.6,961.0,413.3,7940.01,397.61,69.06,3.07,27954.45,0.9,96.1,33.0,6
2025-01-09,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,218.2,439.9,233.4,3698.94,688.54,69.06,3.07,15235.15,0.0,98.5,34.2,11
2025-01-09,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,457.0,971.8,615.6,8041.8,492.96,69.06,3.07,31919.85,0.2,95.8,33.1,11
2025-01-10,W-001,Permian North,West Texas,Horizontal Oil,Producing,243.4,316.9,266.6,5096.56,377.94,71.75,3.12,17581.66,0.1,95.9,33.9,5
